Movement,Nose.x,Nose.y,Neck.x,Neck.y,RShoulder.x,RShoulder.y,RElbow.x,RElbow.y,RWrist.x,RWrist.y,LShoulder.x,LShoulder.y,LElbow.x,LElbow.y,LWrist.x,LWrist.y,MidHip.x,MidHip.y,RHip.x,RHip.y,RKnee.x,RKnee.y,RAnkle.x,RAnkle.y,LHip.x,LHip.y,LKnee.x,LKnee.y,LAnkle.x,LAnkle.y,REye.x,REye.y,LEye.x,LEye.y,REar.x,REar.y,LEar.x,LEar.y,LBigToe.x,LBigToe.y,LSmallToe.x,LSmallToe.y,LHeel.x,LHeel.y,RBigToe.x,RBigToe.y,RSmallToe.x,RSmallToe.y,RHeel.x,RHeel.y
0,585.6436,132.01996,599.0046,200.20157,553.8829,200.24057,531.28326,295.17978,526.638,358.7348,640.11237,200.17871,667.1104,286.234,653.58496,358.7319,594.81696,376.7258,563.0378,376.77386,567.481,485.8053,580.9801,599.0077,630.69916,376.70346,630.78735,485.7514,630.77435,594.8083,572.00836,127.32721,594.787,127.2801,0,0,626.37866,127.64129,608.1891,621.8963,630.86426,621.91437,630.7687,599.41064,567.51794,621.80133,562.74603,612.77893,590.1971,603.7172
0,585.6513,132.01895,599.0166,200.2015,553.90344,200.23625,531.2905,295.18396,526.64026,358.7359,640.1226,200.18144,667.1089,286.26767,653.5654,358.7469,594.8264,376.74622,563.0496,376.79022,567.4918,485.8109,580.975,599.00977,630.70624,376.72742,630.779,485.76743,630.77045,594.80975,572.02167,127.324356,594.7921,127.28144,0,0,626.3856,127.63641,603.87463,621.8925,630.85016,621.92084,630.7714,599.4132,567.5037,621.7981,562.7412,612.77423,590.1954,603.71924
0,589.91327,132.02332,599.014,200.20294,553.8999,200.23952,531.29346,295.1894,526.639,358.74222,640.11487,200.17932,667.1032,286.26624,653.559,358.74765,594.828,376.743,563.0518,376.7874,567.4991,485.8046,580.97894,599.00305,630.7077,376.72302,630.7826,485.75842,630.77094,594.80865,572.02814,127.33263,594.7954,127.28575,0,0,626.3911,127.62972,603.87115,621.89233,630.84674,621.92224,630.77386,599.41254,567.50244,621.79236,562.7416,612.76636,590.1993,603.7119
0,585.65393,132.02846,599.01685,200.21196,553.9007,200.23935,531.3138,295.1815,526.6362,358.73343,640.1298,200.19765,667.10126,286.28345,653.55005,358.7473,594.8242,376.7351,563.0497,376.7748,567.50244,485.80002,580.98724,598.9984,630.7002,376.71872,630.7739,485.75958,630.7686,594.8086,572.03687,127.336075,594.792,127.29321,0,0,626.3863,127.64184,603.85675,621.89105,630.8302,621.9258,630.7816,599.4132,567.49005,621.7836,562.738,612.7547,594.395,603.71533
0,585.652,132.03552,599.02344,200.21259,553.91205,200.25247,531.308,295.20612,526.6386,358.79602,640.13684,200.18979,667.08655,286.2707,653.54834,358.75937,594.8349,376.72092,563.0606,376.7612,567.4952,485.77356,580.9727,594.8274,630.7126,372.50256,630.7816,485.73822,630.7745,594.7942,572.03955,127.3406,594.7896,127.30136,0,0,626.38837,127.64953,603.8613,621.87836,630.8369,621.9083,630.78687,599.40173,567.49365,621.7859,562.7357,612.75653,590.19934,603.69916
0,589.9195,132.03336,599.0251,200.21078,553.9191,200.25266,531.33923,295.22296,526.64685,358.78806,640.13586,200.18475,667.08716,286.27686,653.5567,358.7737,594.8308,376.71445,563.06335,376.7528,567.5013,485.7658,580.9675,594.81854,630.702,372.4967,630.7834,485.72507,630.77185,594.78253,572.06433,127.34312,594.79803,127.30836,0,0,626.3877,127.65896,603.8686,621.8719,630.84515,621.8995,630.7785,599.39014,567.4981,621.7807,562.73724,612.7526,590.1932,603.68854
0,589.93414,132.03258,599.03186,200.19806,558.0827,200.24414,535.6137,295.2088,526.65125,358.77325,640.14233,200.16304,667.09216,286.2708,653.57874,358.80844,594.8481,372.48038,563.0831,376.72113,567.5215,485.74173,580.9848,594.81696,630.7197,372.46185,630.7965,485.6998,630.78174,594.77295,572.08215,127.34094,594.8087,127.30903,0,0,626.3975,127.659996,608.19495,621.872,630.8711,621.8905,630.7828,599.3788,567.5271,621.78314,562.7552,612.75574,590.2031,603.6866
0,589.9193,132.03935,599.0392,200.20332,558.0906,200.24803,531.344,295.2109,526.6535,358.76367,640.1514,200.16502,667.0897,286.26926,653.578,358.825,598.96826,372.46213,563.0902,376.70276,567.5268,485.7293,580.98627,594.8186,630.7313,372.44223,630.803,485.69238,630.78595,594.77264,572.067,127.34089,594.7999,127.31174,0,0,626.39844,127.655846,608.21027,621.87305,630.8825,621.8889,630.78375,599.37775,567.53656,621.78723,562.76,612.76117,590.2024,603.6879
0,589.92664,132.04616,599.04004,200.19106,558.0952,200.24326,531.33887,295.20557,526.64685,358.7601,640.1446,200.14748,667.1045,286.23224,653.5774,358.7791,594.8489,372.43787,563.0774,372.49536,567.5232,485.72958,580.9916,594.8217,630.72473,372.41632,630.8118,485.69125,630.79395,594.7822,572.07196,127.34814,594.8004,127.318565,0,0,626.39545,127.65831,608.2046,621.87555,630.8785,621.8957,630.7978,599.3859,567.532,621.78723,562.75824,612.7597,594.3984,603.69794
0,589.93286,132.04344,599.04126,200.19095,558.09503,200.24063,531.3385,295.20328,526.65247,358.75226,640.14954,200.14944,667.1071,286.24866,653.58496,358.78113,594.8543,372.4503,563.0822,376.69778,567.5216,485.7389,581.0115,594.8226,630.7337,372.4322,630.8198,485.7101,630.8036,594.78235,572.0778,127.34934,594.80304,127.31745,0,0,626.39343,127.65804,608.2094,621.8743,630.88464,621.8942,630.81805,599.3867,567.5385,621.7894,562.7671,612.75903,594.41174,603.6976
0,589.9293,132.04584,599.0339,200.18997,558.08636,200.24623,531.3311,295.20898,526.6515,358.74835,640.1359,200.14241,667.1121,286.24884,653.5829,358.78357,594.8479,372.4536,563.0741,376.70352,567.521,485.75055,581.0306,598.9948,630.72675,372.43408,630.8086,485.72098,630.80084,594.79486,572.0739,127.3491,594.8016,127.32045,0,0,626.38934,127.66369,608.17535,621.8862,630.8562,621.915,630.8276,599.40015,567.5225,621.792,562.762,612.7593,594.42267,603.7123
0,589.91174,132.04723,599.0376,200.18376,558.089,200.24272,531.33484,295.20734,526.6564,358.7523,640.13477,200.13351,667.11884,286.24823,653.6009,358.78918,594.85455,372.4629,563.07916,376.7112,567.51196,485.76215,581.02374,599.0019,630.7368,372.44354,630.8076,485.72983,630.7998,594.79944,572.0558,127.34882,594.7896,127.32091,0,0,626.3855,127.66213,608.1738,621.8912,630.8536,621.9196,630.8266,599.4034,567.51715,621.7969,562.7581,612.7644,594.41974,603.719
0,585.6516,132.05531,599.03986,200.18648,558.1016,200.24092,535.61096,295.21918,526.6712,358.7662,640.12976,200.13905,667.11316,286.26443,653.6046,358.82108,594.85333,372.46228,563.0822,376.70786,567.5022,485.76834,581.0219,598.9984,630.7312,372.44467,630.79834,485.7376,630.7965,594.79846,572.0484,127.3515,594.7854,127.32354,0,0,626.3828,127.66391,603.8624,621.8809,630.84155,621.9154,630.82965,599.4013,567.50995,621.79156,562.7555,612.7592,594.4201,603.7137
0,585.6523,132.054,599.03864,200.18771,558.1008,200.24303,535.61,295.21518,526.67224,358.7582,640.1275,200.14124,667.1106,286.26703,653.6022,358.82968,594.85657,372.45053,563.08386,376.69586,567.51276,485.74954,581.0157,594.82825,630.7346,372.4342,630.8022,485.72192,630.7939,594.79315,572.05005,127.35142,594.78644,127.32304,0,0,626.3807,127.66373,603.8608,621.87787,630.84265,621.91223,630.8235,599.3981,567.5108,621.787,562.754,612.754,594.4184,603.7061
0,585.6495,132.0535,599.0385,200.18192,558.10126,200.23526,535.6048,295.19684,526.66943,358.74066,640.1293,200.13995,667.1088,286.2579,653.6141,358.8302,594.8505,372.44794,563.0771,376.69455,567.5181,485.7509,581.0189,594.824,630.72815,372.43,630.81055,485.7159,630.80133,594.7786,572.0491,127.35082,594.7853,127.32421,0,0,626.38354,127.66177,608.1841,621.87415,630.8655,621.89655,630.8235,599.3838,567.5241,621.7878,562.7613,612.75507,594.4205,603.70276
0,585.65265,132.05258,599.0428,200.17969,558.10376,200.23262,535.60944,295.20258,526.6741,358.75443,640.13635,200.13762,667.1118,286.2552,653.6208,358.83316,598.96716,372.44968,563.08325,376.693,567.5111,485.75308,581.00525,594.8317,630.7356,372.43146,630.80646,485.72232,630.79517,594.7858,572.05347,127.34827,594.7874,127.32433,0,0,626.3855,127.66261,603.8655,621.8681,630.8452,621.90216,630.8211,599.392,567.50354,621.7928,562.7487,612.75934,594.41315,603.7115
0,589.91266,132.04927,599.0413,200.18071,558.1041,200.23186,535.6095,295.2053,526.67255,358.75674,640.13336,200.13988,667.1118,286.25653,653.62225,358.83853,594.8544,372.44818,563.0812,376.693,567.5145,485.7606,581.01044,599.00073,630.73254,372.43088,630.80255,485.73077,630.7901,594.79443,572.0592,127.34807,594.7908,127.32452,0,0,626.3873,127.660416,603.8594,621.87585,630.8367,621.9103,630.8171,599.4012,567.4957,621.79364,562.74713,612.7593,594.4125,603.72
